source,year,baseline_max_3m,cnop_max_3m,gain_max_3m,tos_Nino34,zos_Nino34,tos_WestEqPac,zos_WestEqPac,tos_CentralEastEqPac,zos_CentralEastEqPac,tos_NorthOffEq,zos_NorthOffEq,tos_SouthOffEq,zos_SouthOffEq,zos_east_west_tilt,tos_eq_gradient
CESM2,1856,0.10757128894329071,0.8628711700439453,0.7552998661994934,1.2630324759536846,0.05283897381512125,-0.2976518488518499,-0.028689684789863126,0.9441473801733062,0.05404347052240843,0.9187008747178125,-0.004718700341215837,0.7005769967051605,-0.05326425374212414,0.08273315531227156,1.241799229025156
EC-Earth3,1878,0.32558125257492065,1.714986801147461,1.3894054889678955,1.2699394552470225,0.08747944041672334,0.5236054189545057,0.01996308773881324,1.1677607688875273,0.08013764654459722,0.7961292957091386,-0.012828020619833727,0.52118223660591,0.019509933252023708,0.060174558805783984,0.6441553499330216
EC-Earth3,1942,0.28612202405929565,1.7604560852050781,1.4743340015411377,1.3048372718239172,0.08851754621177714,-0.1782226863405694,0.04491119473480101,1.1088572776083756,0.08259407333532914,0.9769486235072379,-0.005658417273017631,0.5083028444972175,0.012312627938428343,0.03768287860052813,1.287079963948945
EC-Earth3,1959,-0.22528330981731415,1.0752944946289062,1.3005777597427368,1.2976001650696474,0.0723082880418443,-0.23309500016107648,-0.03294475446741628,1.1880287017334517,0.06993745528492705,0.7187071381952338,-0.05162463237650696,0.33775456245300567,0.014729419463988242,0.10288220975234333,1.4211237018945282
EC-Earth3,1975,-0.08638064563274384,1.2473609447479248,1.333741545677185,1.283575100122471,0.0870267035175799,-0.4886838193845779,0.012984747156128944,1.0977104437817458,0.08607680705472262,0.5466284111322204,-0.03551902330957244,0.4629439574890291,-0.001351163322029953,0.07309205989859367,1.5863942631663237
GFDL-ESM4,1930,-0.6061992645263672,1.1143277883529663,1.7205270528793335,1.2765375054419745,0.012548454467983408,-0.2717653814326428,0.06479046929733949,1.0398052320865456,0.036043468919040866,0.8763632324498596,-0.06017309216477956,0.75445276795809,-0.0010519348427011365,-0.028747000378298623,1.3115706135191885
GFDL-ESM4,1995,0.09981473535299301,1.6876596212387085,1.5878448486328125,1.279449007652774,0.0701921642082649,-0.4322526305633049,-0.04012605067760136,1.0727244275244059,0.06646266316768613,0.9360782483223921,-0.012883258450416712,0.4950184333756884,0.021574543582780836,0.1065887138452875,1.5049770580877109
IPSL-CM6A-LR,1880,-0.031490325927734375,1.3547325134277344,1.3862228393554688,1.2743080796855615,0.08226096649021337,-0.7481807994086028,0.06080531664479008,1.1552772756087155,0.07848584783667455,0.7218115479490415,9.902992432500037e-05,-0.40842780825448227,0.01167549659127758,0.017680531191884466,1.9034580750173182
MPI-ESM1-2-HR,1876,-0.4322141110897064,1.0922883749008179,1.5245025157928467,1.3212788938225726,0.08277688958017143,0.016190193926219912,-0.06316609417754415,1.0291877199712465,0.07478730124992176,0.827244830192653,-0.0236681324258949,0.2006611326936075,0.00415695576903139,0.13795339542746593,1.0129975260450266
MPI-ESM1-2-HR,2003,0.4299449920654297,1.8786170482635498,1.4486720561981201,1.255134067048468,0.08340090920909154,0.40872162075201984,-0.06374957657577549,1.0548011198677496,0.07346295830686884,0.8396370426770529,-0.007383491788360264,0.783485692187646,-0.021573661593264053,0.13721253488264434,0.6460794991157297
